Time_ms,ax,ay,az
1772931090865.8455,0.0597,-0.6102,-0.7552
1772931090865.8455,0.0583,-0.6104,-0.7549
1772931090865.8455,0.062,-0.6092,-0.7538
1772931090865.8455,0.0627,-0.6101,-0.7551
1772931090881.5093,0.0608,-0.6138,-0.7548
1772931090881.5093,0.0614,-0.6107,-0.7531
1772931090881.5093,0.0617,-0.6134,-0.7558
1772931090881.5093,0.0623,-0.6138,-0.7541
1772931090881.5093,0.0604,-0.6136,-0.755
1772931090881.5093,0.061,-0.6123,-0.7555
1772931090881.5093,0.059,-0.6133,-0.7568
1772931090881.5093,0.0571,-0.6141,-0.7581
1772931090897.5928,0.0575,-0.6124,-0.7589
1772931090897.5928,0.0608,-0.612,-0.7617
1772931090897.5928,0.0595,-0.6114,-0.7594
1772931090897.5928,0.0608,-0.61,-0.7622
1772931090897.5928,0.0601,-0.6119,-0.7609
1772931090897.5928,0.0625,-0.6093,-0.7616
1772931090897.5928,0.06,-0.6091,-0.7645
1772931090897.5928,0.0601,-0.6104,-0.7636
1772931090913.151,0.0616,-0.6092,-0.766
1772931090913.151,0.0606,-0.6133,-0.766
1772931090913.151,0.0578,-0.6152,-0.764
1772931090913.151,0.057,-0.6124,-0.7682
1772931090913.151,0.0534,-0.6129,-0.7665
1772931090928.796,0.0546,-0.6155,-0.7693
1772931090928.796,0.054,-0.614,-0.7714
1772931090928.796,0.0516,-0.615,-0.7701
1772931090928.796,0.0519,-0.6141,-0.7719
1772931090928.796,0.0551,-0.6121,-0.7702
1772931090928.796,0.055,-0.6159,-0.7697
1772931090928.796,0.0564,-0.6135,-0.7705
1772931090928.796,0.0525,-0.616,-0.7698
1772931090944.0947,0.0537,-0.6163,-0.7703
1772931090944.0947,0.0536,-0.6177,-0.7685
1772931090944.0947,0.053,-0.6173,-0.7681
1772931090944.0947,0.0519,-0.6163,-0.7699
1772931090944.0947,0.0546,-0.6173,-0.7681
1772931090944.0947,0.0544,-0.6154,-0.7704
1772931090944.0947,0.0557,-0.6178,-0.7646
1772931090944.0947,0.0555,-0.6183,-0.7676
1772931090959.7737,0.0568,-0.6156,-0.7659
1772931090959.7737,0.0565,-0.6168,-0.7667
1772931090959.7737,0.0565,-0.6182,-0.7687
1772931090959.7737,0.0578,-0.6176,-0.7638
1772931090959.7737,0.0578,-0.6183,-0.7654
1772931090959.7737,0.0586,-0.6172,-0.7646
1772931090959.7737,0.0579,-0.6175,-0.764
1772931090959.7737,0.0585,-0.6173,-0.7644
1772931090975.395,0.059,-0.6145,-0.7654
1772931090975.395,0.058,-0.6144,-0.7608
1772931090975.395,0.0589,-0.6154,-0.7618
1772931090975.395,0.0586,-0.6139,-0.7635
1772931090975.395,0.0581,-0.6161,-0.7645
